CONTRACT,TENURE,TECHSUPPORT,INTERNETSERVICE,ONLINESECURITY,DEVICEPROTECTION,MONTHLYCHARGES,PAYMENTMETHOD,STREAMINGMOVIES,ONLINEBACKUP,CHURN
Month-to-month,1,No,Fiber optic,No,No,70.25,Electronic check,No,No,1
Month-to-month,37,No,Fiber optic,No,No,95.25,Electronic check,Yes,No,0
Month-to-month,10,No,Fiber optic,No,Yes,84.6,Credit card (automatic),Yes,No,1
Month-to-month,34,No,DSL,No,No,25.05,Bank transfer (automatic),No,No,0
One year,35,No,DSL,Yes,Yes,53.15,Credit card (automatic),Yes,No,0
Month-to-month,4,No internet service,No,No internet service,No internet service,20.15,Electronic check,No internet service,No internet service,0
Month-to-month,39,Yes,Fiber optic,No,No,101.25,Electronic check,Yes,No,0
One year,43,No,Fiber optic,No,Yes,100.55,Bank transfer (automatic),Yes,Yes,0
Month-to-month,17,No internet service,No,No internet service,No internet service,24.1,Mailed check,No internet service,No internet service,1
Two year,61,No internet service,No,No internet service,No internet service,25.3,Bank transfer (automatic),No internet service,No internet service,0
One year,49,No,DSL,Yes,Yes,71.8,Electronic check,Yes,Yes,0
One year,4,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
Two year,64,Yes,DSL,No,Yes,49.85,Electronic check,Yes,Yes,0
Month-to-month,3,No,Fiber optic,No,No,69.6,Mailed check,No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.75,Electronic check,No internet service,No internet service,0
One year,40,No,Fiber optic,No,Yes,80.8,Electronic check,No,Yes,0
Month-to-month,1,Yes,DSL,Yes,No,60.0,Electronic check,No,Yes,1
Month-to-month,8,No,Fiber optic,No,No,86.55,Electronic check,Yes,No,1
Month-to-month,1,No internet service,No,No internet service,No internet service,20.85,Mailed check,No internet service,No internet service,1
One year,34,Yes,DSL,No,Yes,64.2,Bank transfer (automatic),No,No,0
Month-to-month,1,No,DSL,No,No,35.0,Electronic check,Yes,No,0
Month-to-month,39,No,DSL,No,Yes,50.75,Electronic check,Yes,No,1
One year,58,Yes,Fiber optic,Yes,No,105.5,Credit card (automatic),Yes,Yes,1
Two year,45,No internet service,No,No internet service,No internet service,19.2,Electronic check,No internet service,No internet service,0
Month-to-month,6,No,Fiber optic,Yes,No,85.15,Bank transfer (automatic),No,No,1
One year,43,Yes,Fiber optic,Yes,Yes,90.65,Credit card (automatic),No,Yes,0
Two year,41,No internet service,No,No internet service,No internet service,20.0,Mailed check,No internet service,No internet service,0
Month-to-month,5,No,Fiber optic,No,No,74.65,Electronic check,No,Yes,0
Two year,72,Yes,DSL,Yes,Yes,61.2,Credit card (automatic),Yes,No,0
One year,4,No internet service,No,No internet service,No internet service,19.95,Mailed check,No internet service,No internet service,0
Month-to-month,9,Yes,DSL,No,No,54.8,Mailed check,No,Yes,0
Two year,72,No,DSL,No,Yes,73.45,Credit card (automatic),Yes,No,0
One year,33,Yes,DSL,No,No,51.45,Mailed check,No,No,0
Two year,72,No,Fiber optic,Yes,No,80.45,Bank transfer (automatic),No,No,0
Month-to-month,22,Yes,DSL,Yes,No,54.2,Electronic check,No,No,1
One year,70,Yes,Fiber optic,No,Yes,109.5,Electronic check,Yes,Yes,1
Month-to-month,21,No,Fiber optic,No,Yes,104.4,Electronic check,Yes,Yes,1
Month-to-month,15,No,Fiber optic,No,Yes,85.3,Electronic check,No,No,0
Month-to-month,29,Yes,Fiber optic,No,No,79.3,Electronic check,No,No,0
Month-to-month,15,Yes,DSL,No,Yes,76.5,Bank transfer (automatic),Yes,Yes,0
Month-to-month,71,No,Fiber optic,Yes,No,105.1,Credit card (automatic),Yes,Yes,1
Two year,72,No internet service,No,No internet service,No internet service,25.4,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,19,No,Fiber optic,No,No,86.85,Electronic check,No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,75.7,Electronic check,No,Yes,1
Month-to-month,2,No,DSL,No,No,45.55,Electronic check,No,No,0
Month-to-month,11,No,Fiber optic,No,Yes,78.1,Credit card (automatic),No,No,0
One year,12,No internet service,No,No internet service,No internet service,19.3,Mailed check,No internet service,No internet service,0
Two year,70,Yes,Fiber optic,No,Yes,110.5,Electronic check,Yes,Yes,0
Month-to-month,20,No,Fiber optic,No,Yes,90.8,Electronic check,No,No,1
Month-to-month,23,No internet service,No,No internet service,No internet service,20.3,Bank transfer (automatic),No internet service,No internet service,0
Two year,49,Yes,DSL,Yes,Yes,81.35,Credit card (automatic),Yes,Yes,0
Month-to-month,4,No,Fiber optic,No,No,97.95,Electronic check,Yes,Yes,1
Month-to-month,32,Yes,Fiber optic,Yes,No,108.15,Credit card (automatic),Yes,Yes,1
Month-to-month,2,No,DSL,No,No,55.3,Electronic check,Yes,No,0
Two year,69,No,DSL,Yes,No,56.55,Credit card (automatic),Yes,Yes,0
Month-to-month,6,No,Fiber optic,No,No,80.5,Credit card (automatic),No,No,1
Two year,24,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
One year,32,No,Fiber optic,No,Yes,104.05,Credit card (automatic),Yes,Yes,0
Two year,27,No,DSL,Yes,No,52.85,Bank transfer (automatic),No,Yes,0
Month-to-month,27,Yes,Fiber optic,Yes,No,104.3,Bank transfer (automatic),Yes,No,1
Month-to-month,58,Yes,Fiber optic,No,No,80.65,Bank transfer (automatic),No,No,0
Month-to-month,1,No,Fiber optic,No,No,71.35,Mailed check,No,No,1
Two year,18,No internet service,No,No internet service,No internet service,24.65,Credit card (automatic),No internet service,No internet service,0
Two year,47,No internet service,No,No internet service,No internet service,21.3,Bank transfer (automatic),No internet service,No internet service,0
Two year,70,Yes,Fiber optic,No,Yes,110.2,Electronic check,Yes,Yes,0
Month-to-month,13,Yes,Fiber optic,No,Yes,89.4,Electronic check,No,Yes,1
Month-to-month,36,No,DSL,Yes,No,51.05,Credit card (automatic),No,No,0
Two year,67,No internet service,No,No internet service,No internet service,19.8,Mailed check,No internet service,No internet service,0
Month-to-month,10,No internet service,No,No internet service,No internet service,19.9,Mailed check,No internet service,No internet service,0
Month-to-month,19,No,Fiber optic,Yes,No,87.3,Electronic check,Yes,No,0
Two year,71,No internet service,No,No internet service,No internet service,19.85,Bank transfer (automatic),No internet service,No internet service,0
Two year,72,Yes,DSL,Yes,Yes,89.4,Mailed check,Yes,Yes,0
Two year,48,No internet service,No,No internet service,No internet service,20.0,Mailed check,No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.05,Mailed check,No internet service,No internet service,0
Month-to-month,18,Yes,DSL,Yes,Yes,83.25,Electronic check,Yes,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.6,Mailed check,No internet service,No internet service,1
Two year,67,Yes,Fiber optic,No,No,102.9,Bank transfer (automatic),Yes,Yes,0
Two year,69,Yes,DSL,Yes,Yes,39.1,Mailed check,No,No,0
Month-to-month,19,No,Fiber optic,No,No,99.95,Electronic check,Yes,Yes,1
Two year,72,Yes,Fiber optic,Yes,Yes,114.5,Mailed check,Yes,Yes,0
Two year,38,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
One year,40,No,DSL,No,No,55.8,Electronic check,Yes,No,0
Two year,61,No internet service,No,No internet service,No internet service,24.2,Mailed check,No internet service,No internet service,0
Month-to-month,10,No,Fiber optic,No,No,81.0,Credit card (automatic),No,Yes,1
One year,32,Yes,DSL,Yes,No,72.8,Credit card (automatic),No,No,0
Month-to-month,21,No,Fiber optic,No,No,99.85,Credit card (automatic),Yes,Yes,0
One year,59,No,Fiber optic,No,Yes,99.5,Electronic check,Yes,No,0
Month-to-month,13,No,Fiber optic,No,No,70.15,Electronic check,No,No,1
Two year,47,No internet service,No,No internet service,No internet service,20.25,Credit card (automatic),No internet service,No internet service,0
Two year,69,No internet service,No,No internet service,No internet service,26.0,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,2,No internet service,No,No internet service,No internet service,19.9,Credit card (automatic),No internet service,No internet service,0
Month-to-month,22,No internet service,No,No internet service,No internet service,19.05,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,15,No,Fiber optic,Yes,Yes,96.5,Electronic check,No,No,0
Two year,53,No internet service,No,No internet service,No internet service,19.85,Credit card (automatic),No internet service,No internet service,0
Month-to-month,28,No internet service,No,No internet service,No internet service,25.7,Mailed check,No internet service,No internet service,0
One year,22,No internet service,No,No internet service,No internet service,20.3,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,70.15,Mailed check,No,No,1
Month-to-month,16,Yes,Fiber optic,No,Yes,91.55,Electronic check,Yes,No,0
Two year,48,Yes,DSL,Yes,No,39.4,Mailed check,No,Yes,0
Month-to-month,30,Yes,Fiber optic,Yes,Yes,105.7,Bank transfer (automatic),No,Yes,0
Month-to-month,3,No,Fiber optic,No,No,70.25,Electronic check,No,No,0
Two year,57,Yes,Fiber optic,Yes,No,93.75,Electronic check,Yes,No,0
One year,68,No,Fiber optic,Yes,No,96.55,Credit card (automatic),Yes,Yes,1
One year,23,Yes,DSL,No,No,60.0,Bank transfer (automatic),No,No,0
Two year,65,Yes,DSL,No,No,59.8,Credit card (automatic),No,No,0
One year,44,No,Fiber optic,No,No,90.65,Bank transfer (automatic),Yes,No,0
Two year,71,No,Fiber optic,Yes,Yes,109.0,Bank transfer (automatic),Yes,Yes,0
One year,37,Yes,DSL,Yes,Yes,68.1,Credit card (automatic),No,No,0
Month-to-month,12,No internet service,No,No internet service,No internet service,20.4,Mailed check,No internet service,No internet service,0
Two year,69,Yes,DSL,No,Yes,81.95,Bank transfer (automatic),Yes,Yes,0
Month-to-month,35,No,DSL,Yes,Yes,60.55,Electronic check,No,Yes,0
Month-to-month,5,Yes,DSL,No,No,65.6,Bank transfer (automatic),Yes,Yes,0
Two year,58,No,Fiber optic,No,No,82.5,Bank transfer (automatic),No,No,0
Two year,72,Yes,DSL,Yes,Yes,82.3,Bank transfer (automatic),Yes,Yes,0
Two year,72,Yes,DSL,Yes,Yes,68.15,Mailed check,No,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.3,Credit card (automatic),No internet service,No internet service,0
One year,39,Yes,Fiber optic,Yes,Yes,95.55,Electronic check,No,No,1
One year,53,No internet service,No,No internet service,No internet service,20.2,Credit card (automatic),No internet service,No internet service,0
Month-to-month,27,Yes,Fiber optic,No,Yes,89.2,Electronic check,Yes,No,0
Month-to-month,1,No,Fiber optic,No,No,69.65,Electronic check,No,No,1
Month-to-month,1,No,Fiber optic,No,No,89.3,Electronic check,Yes,No,1
Month-to-month,18,No,Fiber optic,Yes,No,74.8,Electronic check,No,No,0
Two year,46,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
Two year,72,Yes,DSL,Yes,Yes,84.4,Credit card (automatic),Yes,No,0
Month-to-month,36,Yes,Fiber optic,No,Yes,87.55,Electronic check,Yes,No,1
Month-to-month,4,No,DSL,No,No,25.15,Electronic check,No,No,0
Two year,25,No internet service,No,No internet service,No internet service,19.8,Credit card (automatic),No internet service,No internet service,0
Month-to-month,40,No,DSL,No,No,50.85,Electronic check,Yes,Yes,0
Month-to-month,63,No,Fiber optic,No,Yes,102.4,Electronic check,Yes,Yes,0
Month-to-month,15,Yes,Fiber optic,Yes,Yes,96.3,Mailed check,Yes,No,1
Month-to-month,14,No,DSL,No,No,55.5,Credit card (automatic),No,Yes,0
Two year,72,Yes,Fiber optic,No,Yes,109.75,Bank transfer (automatic),Yes,Yes,0
Month-to-month,39,No,Fiber optic,Yes,No,106.4,Electronic check,Yes,Yes,0
Two year,47,No,DSL,Yes,Yes,60.0,Credit card (automatic),Yes,Yes,0
Month-to-month,19,Yes,Fiber optic,Yes,No,88.8,Credit card (automatic),No,Yes,0
Month-to-month,5,No,Fiber optic,No,No,85.2,Electronic check,No,No,1
Month-to-month,13,No,DSL,No,No,35.1,Electronic check,Yes,No,1
Month-to-month,17,No,Fiber optic,No,Yes,80.05,Bank transfer (automatic),No,No,0
Month-to-month,34,No,Fiber optic,No,No,75.55,Electronic check,No,No,0
Month-to-month,42,No,DSL,No,No,49.55,Electronic check,No,Yes,0
Month-to-month,5,No,Fiber optic,No,No,81.3,Electronic check,No,Yes,1
Two year,71,No internet service,No,No internet service,No internet service,23.9,Credit card (automatic),No internet service,No internet service,0
Month-to-month,19,No,DSL,Yes,Yes,66.4,Bank transfer (automatic),No,No,0
Month-to-month,2,No internet service,No,No internet service,No internet service,19.6,Electronic check,No internet service,No internet service,1
Two year,57,No internet service,No,No internet service,No internet service,18.8,Credit card (automatic),No internet service,No internet service,0
Two year,72,Yes,Fiber optic,No,Yes,108.4,Electronic check,Yes,Yes,0
Month-to-month,6,No,Fiber optic,No,No,85.95,Mailed check,Yes,Yes,0
Month-to-month,17,No,Fiber optic,No,No,85.45,Electronic check,Yes,No,1
Two year,61,No,DSL,No,Yes,80.9,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,71.0,Electronic check,No,No,1
Two year,48,Yes,Fiber optic,Yes,Yes,111.8,Credit card (automatic),Yes,Yes,0
Month-to-month,16,No internet service,No,No internet service,No internet service,20.6,Credit card (automatic),No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,No,85.05,Electronic check,Yes,No,1
Month-to-month,3,No,DSL,No,No,44.6,Electronic check,No,No,0
Month-to-month,1,No,DSL,No,No,44.4,Electronic check,No,No,1
Two year,65,No,Fiber optic,No,Yes,105.1,Credit card (automatic),Yes,Yes,0
Two year,70,Yes,Fiber optic,Yes,Yes,115.15,Credit card (automatic),Yes,Yes,0
One year,60,No,DSL,Yes,No,59.8,Mailed check,No,No,0
One year,69,No internet service,No,No internet service,No internet service,26.3,Electronic check,No internet service,No internet service,0
Month-to-month,35,No,Fiber optic,No,No,70.55,Electronic check,No,No,0
Month-to-month,22,No internet service,No,No internet service,No internet service,20.05,Mailed check,No internet service,No internet service,0
Two year,66,No,DSL,No,Yes,79.85,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,70.3,Electronic check,No,No,1
Month-to-month,1,No,Fiber optic,No,No,79.35,Bank transfer (automatic),No,No,1
Month-to-month,34,No,Fiber optic,No,Yes,90.05,Credit card (automatic),Yes,No,0
Two year,72,No internet service,No,No internet service,No internet service,24.45,Bank transfer (automatic),No internet service,No internet service,0
One year,31,Yes,DSL,Yes,Yes,59.95,Electronic check,Yes,No,0
One year,30,No internet service,No,No internet service,No internet service,25.35,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,No,90.8,Bank transfer (automatic),Yes,No,1
Month-to-month,20,No,Fiber optic,No,No,70.45,Electronic check,No,No,1
Month-to-month,19,No,DSL,No,Yes,34.3,Credit card (automatic),No,Yes,0
Month-to-month,65,No,Fiber optic,Yes,Yes,105.05,Electronic check,Yes,No,0
Two year,30,No internet service,No,No internet service,No internet service,19.3,Mailed check,No internet service,No internet service,0
One year,6,No internet service,No,No internet service,No internet service,19.15,Mailed check,No internet service,No internet service,0
Month-to-month,2,No,DSL,No,No,51.4,Electronic check,Yes,Yes,0
Month-to-month,53,Yes,DSL,Yes,No,71.85,Electronic check,Yes,No,0
Month-to-month,7,No,Fiber optic,No,No,75.4,Electronic check,No,No,0
One year,61,No,DSL,Yes,No,49.7,Bank transfer (automatic),No,No,0
One year,70,No,DSL,No,No,45.25,Electronic check,Yes,No,1
Month-to-month,13,No,DSL,Yes,Yes,78.75,Electronic check,Yes,No,0
One year,35,No,Fiber optic,No,Yes,81.6,Bank transfer (automatic),No,No,0
Month-to-month,2,No,Fiber optic,No,No,70.4,Credit card (automatic),No,No,0
Month-to-month,3,No,Fiber optic,No,No,75.8,Electronic check,No,No,1
Month-to-month,3,No,Fiber optic,No,No,76.1,Electronic check,No,No,0
One year,62,No,Fiber optic,No,No,94.0,Bank transfer (automatic),Yes,No,0
Two year,72,Yes,Fiber optic,Yes,Yes,103.95,Credit card (automatic),Yes,Yes,0
Two year,63,No internet service,No,No internet service,No internet service,19.95,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,20,No,Fiber optic,No,No,71.3,Credit card (automatic),No,No,1
One year,35,Yes,Fiber optic,Yes,Yes,110.8,Bank transfer (automatic),Yes,Yes,0
Month-to-month,21,No,Fiber optic,No,No,69.1,Electronic check,No,No,1
One year,62,No,Fiber optic,Yes,No,96.1,Electronic check,Yes,Yes,0
Month-to-month,15,No,DSL,No,No,48.8,Mailed check,No,No,0
Month-to-month,55,No,DSL,Yes,No,50.55,Credit card (automatic),No,No,0
Month-to-month,11,No,DSL,No,No,44.65,Mailed check,No,No,0
Month-to-month,17,No,Fiber optic,No,Yes,88.25,Electronic check,No,No,1
One year,61,No internet service,No,No internet service,No internet service,19.45,Bank transfer (automatic),No internet service,No internet service,0
Two year,71,Yes,DSL,Yes,Yes,89.3,Credit card (automatic),Yes,Yes,0
Month-to-month,2,No,Fiber optic,No,No,70.0,Bank transfer (automatic),No,No,1
Two year,35,No internet service,No,No internet service,No internet service,19.25,Mailed check,No internet service,No internet service,0
Month-to-month,17,No,Fiber optic,No,No,70.5,Bank transfer (automatic),No,No,0
Month-to-month,21,No,Fiber optic,No,No,97.35,Electronic check,Yes,No,1
Two year,47,No internet service,No,No internet service,No internet service,19.65,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,3,No internet service,No,No internet service,No internet service,20.85,Mailed check,No internet service,No internet service,0
Month-to-month,3,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
Two year,44,No internet service,No,No internet service,No internet service,19.35,Credit card (automatic),No internet service,No internet service,0
Month-to-month,1,No,DSL,No,No,44.0,Mailed check,No,No,0
One year,44,No,Fiber optic,No,Yes,94.4,Electronic check,Yes,Yes,0
Month-to-month,5,No internet service,No,No internet service,No internet service,25.9,Bank transfer (automatic),No internet service,No internet service,1
Month-to-month,24,No,DSL,Yes,No,55.65,Bank transfer (automatic),No,No,1
Month-to-month,1,No,Fiber optic,No,No,69.65,Electronic check,No,No,1
Month-to-month,18,No,Fiber optic,Yes,No,75.4,Electronic check,No,No,0
Month-to-month,10,No,Fiber optic,No,Yes,100.6,Electronic check,Yes,No,1
Two year,65,No,DSL,Yes,Yes,71.0,Bank transfer (automatic),Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,86.0,Electronic check,Yes,Yes,1
One year,53,No,Fiber optic,Yes,Yes,106.95,Credit card (automatic),Yes,No,1
One year,3,No internet service,No,No internet service,No internet service,21.2,Mailed check,No internet service,No internet service,0
Two year,33,Yes,DSL,Yes,No,61.05,Mailed check,No,Yes,0
Month-to-month,3,No,DSL,No,No,29.6,Electronic check,No,Yes,1
One year,34,Yes,DSL,Yes,Yes,79.95,Bank transfer (automatic),Yes,No,0
Two year,14,No internet service,No,No internet service,No internet service,19.7,Mailed check,No internet service,No internet service,0
Month-to-month,13,No internet service,No,No internet service,No internet service,20.3,Mailed check,No internet service,No internet service,0
One year,46,Yes,DSL,No,Yes,59.9,Bank transfer (automatic),Yes,Yes,1
One year,23,No internet service,No,No internet service,No internet service,24.35,Mailed check,No internet service,No internet service,0
Two year,47,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
Month-to-month,17,No,DSL,Yes,No,50.3,Mailed check,No,No,0
Month-to-month,49,No,Fiber optic,No,No,95.6,Electronic check,Yes,No,1
Month-to-month,59,No,DSL,No,No,50.25,Electronic check,Yes,Yes,0
Two year,69,Yes,DSL,Yes,Yes,85.35,Credit card (automatic),Yes,No,0
One year,11,No,DSL,No,Yes,41.6,Electronic check,No,No,1
Month-to-month,10,No,DSL,Yes,No,51.65,Mailed check,No,No,0
Two year,12,No internet service,No,No internet service,No internet service,24.0,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,45,No,Fiber optic,No,No,100.85,Credit card (automatic),Yes,Yes,1
Month-to-month,39,No,DSL,No,Yes,59.85,Mailed check,No,No,0
Two year,71,No internet service,No,No internet service,No internet service,25.45,Credit card (automatic),No internet service,No internet service,0
Two year,71,No internet service,No,No internet service,No internet service,23.9,Credit card (automatic),No internet service,No internet service,0
One year,33,No internet service,No,No internet service,No internet service,24.15,Credit card (automatic),No internet service,No internet service,0
Month-to-month,67,No,Fiber optic,No,No,75.7,Mailed check,No,No,0
Month-to-month,37,No,DSL,Yes,Yes,40.2,Bank transfer (automatic),No,Yes,1
Month-to-month,49,No,Fiber optic,No,No,84.5,Electronic check,No,No,1
Month-to-month,9,No,DSL,No,No,50.85,Mailed check,No,Yes,0
Two year,52,Yes,Fiber optic,Yes,Yes,91.6,Credit card (automatic),No,No,0
One year,70,No,Fiber optic,No,No,98.9,Electronic check,Yes,Yes,0
Month-to-month,1,No,Fiber optic,No,No,85.0,Electronic check,Yes,Yes,0
Month-to-month,14,No,Fiber optic,No,No,78.95,Electronic check,No,Yes,1
Month-to-month,1,No,DSL,No,No,44.3,Mailed check,No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,1
One year,52,No,Fiber optic,No,No,80.2,Mailed check,No,Yes,0
Month-to-month,6,No,DSL,No,Yes,60.9,Mailed check,No,No,0
Month-to-month,7,No,DSL,Yes,No,34.2,Mailed check,No,Yes,0
Month-to-month,47,No,Fiber optic,No,Yes,85.2,Bank transfer (automatic),No,Yes,1
One year,26,Yes,Fiber optic,Yes,Yes,87.15,Credit card (automatic),No,No,0
Month-to-month,25,Yes,DSL,Yes,No,54.3,Electronic check,No,No,0
Two year,69,No internet service,No,No internet service,No internet service,19.1,Mailed check,No internet service,No internet service,0
Two year,72,Yes,Fiber optic,Yes,Yes,112.75,Credit card (automatic),Yes,Yes,0
Month-to-month,4,No internet service,No,No internet service,No internet service,19.95,Mailed check,No internet service,No internet service,0
Two year,59,No internet service,No,No internet service,No internet service,19.5,Mailed check,No internet service,No internet service,0
Two year,67,No,DSL,Yes,Yes,65.55,Bank transfer (automatic),Yes,No,0
Month-to-month,26,No,Fiber optic,No,No,78.8,Electronic check,Yes,No,0
One year,27,Yes,DSL,No,Yes,78.2,Mailed check,Yes,Yes,0
Two year,72,No,Fiber optic,Yes,Yes,105.25,Bank transfer (automatic),Yes,No,0
Month-to-month,6,Yes,Fiber optic,No,Yes,89.25,Electronic check,Yes,No,0
Two year,62,No internet service,No,No internet service,No internet service,20.65,Credit card (automatic),No internet service,No internet service,0
One year,20,Yes,DSL,No,No,68.7,Electronic check,No,Yes,0
Month-to-month,6,Yes,DSL,Yes,Yes,78.65,Credit card (automatic),Yes,No,0
Two year,51,No internet service,No,No internet service,No internet service,24.75,Mailed check,No internet service,No internet service,0
Two year,61,No internet service,No,No internet service,No internet service,19.75,Credit card (automatic),No internet service,No internet service,0
Month-to-month,62,No,Fiber optic,Yes,Yes,89.1,Electronic check,No,Yes,0
Two year,72,Yes,Fiber optic,Yes,No,84.7,Bank transfer (automatic),No,No,0
Month-to-month,13,No,Fiber optic,No,Yes,98.0,Electronic check,Yes,Yes,1
Month-to-month,5,No,Fiber optic,No,Yes,94.45,Electronic check,Yes,No,1
Month-to-month,3,No,Fiber optic,No,Yes,105.0,Electronic check,Yes,Yes,1
Month-to-month,26,No,Fiber optic,No,Yes,93.85,Electronic check,Yes,Yes,1
Month-to-month,13,No,DSL,No,No,59.9,Electronic check,No,Yes,0
Two year,38,No internet service,No,No internet service,No internet service,19.95,Mailed check,No internet service,No internet service,0
Month-to-month,8,No,Fiber optic,No,No,84.0,Electronic check,Yes,No,1
Month-to-month,34,Yes,Fiber optic,No,Yes,108.9,Electronic check,Yes,Yes,0
Month-to-month,18,No,DSL,Yes,Yes,33.6,Mailed check,No,No,0
One year,56,Yes,Fiber optic,No,Yes,85.85,Mailed check,No,Yes,0
Month-to-month,36,Yes,DSL,No,No,34.85,Bank transfer (automatic),No,Yes,0
Month-to-month,9,No,DSL,No,Yes,48.75,Electronic check,Yes,No,1
Month-to-month,1,No,Fiber optic,No,Yes,84.85,Electronic check,No,No,1
Month-to-month,12,Yes,DSL,Yes,No,56.65,Mailed check,No,No,1
Month-to-month,57,Yes,Fiber optic,No,Yes,95.3,Credit card (automatic),No,Yes,0
One year,42,Yes,DSL,Yes,Yes,73.9,Credit card (automatic),Yes,Yes,1
Two year,33,No internet service,No,No internet service,No internet service,24.5,Mailed check,No internet service,No internet service,1
Two year,70,Yes,Fiber optic,Yes,No,84.6,Bank transfer (automatic),No,Yes,0
Month-to-month,68,Yes,DSL,No,No,44.95,Electronic check,Yes,Yes,0
Month-to-month,1,No,DSL,No,No,24.7,Electronic check,No,No,0
Month-to-month,37,Yes,Fiber optic,No,No,100.3,Credit card (automatic),Yes,No,0
Month-to-month,4,No internet service,No,No internet service,No internet service,25.45,Mailed check,No internet service,No internet service,0
Month-to-month,1,No,DSL,Yes,No,50.7,Mailed check,No,No,0
Month-to-month,20,Yes,DSL,Yes,Yes,55.0,Credit card (automatic),No,Yes,0
Two year,72,Yes,DSL,Yes,No,68.4,Bank transfer (automatic),No,Yes,0
Month-to-month,31,No,Fiber optic,No,Yes,89.9,Electronic check,Yes,No,1
Month-to-month,18,No,Fiber optic,No,No,78.55,Electronic check,Yes,No,1
Month-to-month,11,No,DSL,No,No,55.05,Bank transfer (automatic),No,No,0
Two year,33,No internet service,No,No internet service,No internet service,19.8,Credit card (automatic),No internet service,No internet service,0
One year,62,No,Fiber optic,No,No,84.45,Electronic check,No,No,0
Month-to-month,1,Yes,DSL,No,Yes,35.9,Mailed check,No,No,0
Month-to-month,16,No,Fiber optic,Yes,No,80.75,Bank transfer (automatic),No,Yes,0
One year,22,Yes,DSL,No,Yes,78.65,Mailed check,Yes,No,0
Month-to-month,49,Yes,DSL,Yes,Yes,61.75,Bank transfer (automatic),No,No,0
One year,36,No,DSL,Yes,Yes,63.7,Credit card (automatic),Yes,No,0
Month-to-month,42,Yes,Fiber optic,No,Yes,99.45,Electronic check,Yes,Yes,1
Month-to-month,4,No,DSL,No,No,25.2,Bank transfer (automatic),No,No,1
One year,12,Yes,DSL,No,No,74.05,Mailed check,Yes,No,1
Month-to-month,31,Yes,Fiber optic,Yes,Yes,87.6,Electronic check,No,No,0
Month-to-month,5,No,Fiber optic,Yes,No,89.15,Electronic check,Yes,No,0
Two year,66,No internet service,No,No internet service,No internet service,20.0,Credit card (automatic),No internet service,No internet service,0
Month-to-month,15,Yes,DSL,No,No,55.0,Credit card (automatic),No,No,1
Two year,64,No,Fiber optic,No,Yes,104.4,Bank transfer (automatic),Yes,Yes,0
Month-to-month,10,No internet service,No,No internet service,No internet service,20.05,Credit card (automatic),No internet service,No internet service,0
Month-to-month,7,Yes,Fiber optic,No,No,89.75,Electronic check,No,Yes,1
Month-to-month,29,Yes,DSL,No,No,34.3,Electronic check,No,Yes,0
Two year,57,No internet service,No,No internet service,No internet service,20.65,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,46,No,Fiber optic,Yes,No,84.25,Mailed check,No,Yes,0
Two year,53,No internet service,No,No internet service,No internet service,19.65,Bank transfer (automatic),No internet service,No internet service,0
One year,17,Yes,DSL,Yes,No,79.85,Credit card (automatic),Yes,Yes,0
Two year,38,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
One year,15,No internet service,No,No internet service,No internet service,19.8,Mailed check,No internet service,No internet service,0
Month-to-month,22,No,DSL,No,No,50.35,Electronic check,Yes,Yes,0
Month-to-month,14,No,Fiber optic,No,No,85.15,Electronic check,Yes,No,1
One year,57,Yes,DSL,No,Yes,74.6,Bank transfer (automatic),No,Yes,0
Month-to-month,11,No,Fiber optic,No,No,79.15,Credit card (automatic),Yes,No,0
